index,latent_dim,hidden_dim,epochs,learning_rate,kl_div_loss_weight,nb_clusters,stability,r2_valid
0,2,10,90,-2.0,0.1,4,0.8123313136561527,0.29434058935748464
1,2,10,90,-2.0,0.5,2,0.9489591380783435,0.1553736362884841
3,2,10,90,-3.0,0.1,4,0.8682065441750715,0.3531455339317074
6,2,20,90,-2.0,0.1,4,0.9289505660720047,0.35838917347266663
7,2,20,90,-2.0,0.5,5,0.8896790727146846,0.15421579559173193
9,2,20,90,-3.0,0.1,4,0.93750278844627,0.43605061526410815
12,2,30,90,-2.0,0.1,5,0.9432187439936097,0.4791464566188364
13,2,30,90,-2.0,0.5,5,0.7998599505247579,0.13245417178789537
15,2,30,90,-3.0,0.1,3,0.8710748853811374,0.4335847161215067
16,2,30,90,-3.0,0.5,5,0.7888293918821623,0.005373768306952442
18,2,40,90,-2.0,0.1,5,0.9465217806553752,0.5007879333824099
19,2,40,90,-2.0,0.5,5,0.8642579144575819,0.142393610503631
21,2,40,90,-3.0,0.1,5,0.9584125218602594,0.4306086056049514
22,2,40,90,-3.0,0.5,5,0.8599356129779209,0.09052991252286223
24,2,50,90,-2.0,0.1,5,0.898654580910707,0.5276620318715046
25,2,50,90,-2.0,0.5,5,0.9535917773892761,0.15041318527226477
27,2,50,90,-3.0,0.1,4,0.9188805476516109,0.4656338452389147
28,2,50,90,-3.0,0.5,2,0.9379994192653214,0.11783389081927585
30,2,60,90,-2.0,0.1,5,0.8735594494435616,0.47540267367294947
31,2,60,90,-2.0,0.5,5,0.959666512290221,0.15007954212734498
33,2,60,90,-3.0,0.1,5,0.9308846213652018,0.4585310251967927
34,2,60,90,-3.0,0.5,3,0.8958113500903817,0.14466336088557835
36,3,10,90,-2.0,0.1,5,0.9602330306493421,0.4614206715266139
37,3,10,90,-2.0,0.5,3,0.8767351547969144,0.1638993911311843
39,3,10,90,-3.0,0.1,5,0.9462731148952261,0.38624134503578406
40,3,10,90,-3.0,0.5,4,0.6467512556857429,0.002502919988087134
42,3,20,90,-2.0,0.1,5,0.9564378956691804,0.46014102162047765
43,3,20,90,-2.0,0.5,4,0.5928251017836595,0.12344426573553079
45,3,20,90,-3.0,0.1,5,0.9480260762618499,0.5330803498670441
48,3,30,90,-2.0,0.1,5,0.96475781748392,0.4691278398357495
49,3,30,90,-2.0,0.5,5,0.792059669054032,0.15712430404995592
51,3,30,90,-3.0,0.1,5,0.9806020046642674,0.529251135969688
52,3,30,90,-3.0,0.5,2,0.9318537084117093,0.13399480606322425
54,3,40,90,-2.0,0.1,5,0.9667442371939585,0.5684307109123826
55,3,40,90,-2.0,0.5,4,0.9472510086795476,0.15356634997219676
57,3,40,90,-3.0,0.1,5,0.9580893176784426,0.5478205475488538
58,3,40,90,-3.0,0.5,5,0.9224676708040958,0.10524388749229552
60,3,50,90,-2.0,0.1,3,0.95517529762539,0.5687725211615958
61,3,50,90,-2.0,0.5,4,0.9283243126183907,0.15137241649267888
